Date,Volume,Close,High,Low,Open
2017-01-23,21982000,120.08,120.81,119.77,120.0
2017-01-24,23191150,119.97,120.1,119.5,119.55
2017-01-25,32417410,121.88,122.1,120.28,120.42
2017-01-26,26320740,121.94,122.44,121.6,121.67
2017-01-27,20495340,121.95,122.35,121.6,122.14
2017-01-30,30327110,121.63,121.63,120.66,120.93
2017-01-31,47767760,121.35,121.39,120.62,121.15
2017-02-01,111837300,128.75,130.49,127.01,127.03
2017-02-02,33671250,128.53,129.39,127.78,127.975
2017-02-03,24460160,129.08,129.19,128.16,128.31
2017-02-06,26784530,130.29,130.5,128.9,129.13
2017-02-07,38158410,131.53,132.09,130.45,130.54
2017-02-08,22941650,132.04,132.22,131.22,131.35
2017-02-09,28321440,132.42,132.445,131.12,131.65
2017-02-10,20046250,132.12,132.94,132.05,132.46
2017-02-13,22989980,133.29,133.82,132.75,133.08
2017-02-14,33054500,135.02,135.09,133.25,133.47
2017-02-15,35578640,135.51,136.27,134.62,135.52
2017-02-16,22539860,135.345,135.9,134.8398,135.67
2017-02-17,22163280,135.72,135.83,135.1,135.1
2017-02-21,24487200,136.7,136.75,135.98,136.23
2017-02-22,20769030,137.11,137.12,136.11,136.43
2017-02-23,20762360,136.53,137.48,136.3,137.38
2017-02-24,21754600,136.66,136.66,135.28,135.91
2017-02-27,20222210,136.93,137.435,136.28,137.14
2017-02-28,23446340,136.99,137.435,136.7,137.08
2017-03-01,36362440,139.79,140.15,137.595,137.89
2017-03-02,26170690,138.96,140.2786,138.76,140.0
2017-03-03,21555370,139.78,139.83,138.59,138.78
2017-03-06,21229890,139.34,139.77,138.5959,139.365
2017-03-07,17439210,139.52,139.98,138.79,139.06
2017-03-08,18695500,139.0,139.8,138.82,138.95
2017-03-09,22117750,138.68,138.79,137.05,138.74
2017-03-10,19578920,139.14,139.3571,138.64,139.25
2017-03-13,17048800,139.2,139.43,138.82,138.85
2017-03-14,15281850,138.99,139.65,138.84,139.3
2017-03-15,25676720,140.46,140.7501,139.025,139.41
2017-03-16,19173780,140.69,141.02,140.26,140.72
