Ticker,Status
1735.TW,good
PETR.BA,insufficient_history
SUL1.DE,no_data
MHO,good
RHM.DE,good
EQE.AX,good
PRGS,good
ERCA.MU,good
YCP.F,good
PHX.TO,good
DCC.L,good
TIPT,insufficient_history
TSE1.MU,no_data
3419.TW,good
NWE.V,no_data
NGLB.DE,good
CL8.AX,good
DM0.SI,good
PTBS,good
CHP.AX,no_data
PFLC,good
2337.TW,good
SGZ.L,no_data
NTH.MU,good
ANEK.AT,no_data
ALV.DU,good
INKAT.AT,good
PASAL.AT,no_data
CMB.MI,good
8028.HK,good
HBM.MU,no_data
EFF.SG,good
SIX2.F,good
ZNC.AX,good
SMFG,good
OXIG.L,good
LOM.BE,good
AUTOIND.NS,good
ORC.DU,good
R6C1.F,no_data
ATD-A.TO,no_data
MLNOV.PA,good
SINX,good
PSZ.AX,no_data
1230.HK,no_data
2318.HK,good
FRC.MX,insufficient_history
AB-H.V,good
